Invoice No.,Item Name
19330,"['Origanal South Indian Frappe (350 ML)', 'South Indian Filter Kaapi (150 ML)', 'Berliners (Lotus Biscoff Berliner)']"
19331,['Cappucino (250 ML)']
19332,['Papparoti (Plain)']
19333,"['Cafe Mocha (250 ML)', 'Americano (250 ML)', 'Cappucino (250 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
19334,['South Indian Filter Kaapi (150 ML)']
19335,['Origanal South Indian Frappe (350 Ml)']
19336,"['Iced Americano (350 ML)', 'Iced Latte (350 ML)', 'OAT MILK (200 ML)']"
19337,['Origanal South Indian Frappe (450 ML)']
19338,"['Cappucino (250 ML)', 'Calzones Veg (Calzone Paneer)']"
19339,['Nariyal Irish Cream Frappe (350 ML)']
19340,"['Origanal South Indian Frappe (450 ML)', 'Kaapicino (250 ML)', 'Baked Vada Pav']"
19341,['South Indian Filter Kaapi (150 ML)']
19342,['Classic Frappe (350 Ml)']
19343,"['Madagascar Chocochip Frappe (350 Ml)', 'Classic Frappe (350 Ml)']"
19344,"['Espresso Tonic (Tonic Water)', 'Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner)', 'Mix Berliner 2 Pcs (Nutella Berliner)', 'Iced Mocha (350 ML)', 'Sea Salt Dark Mocha Frappe (350 ML)', 'ALMOND MILK (200 ML)']"
19345,"['Vietnamese (350 ML)', 'Chicken Calzone', 'Kaapicino (250 ML)']"
19346,"['Origanal South Indian Frappe (350 ML)', 'Mix Tartlet 3 Pcs (salted Caramel tartlet)', 'Mix Tartlet 3 Pcs (chocolate Tartlet)']"
19347,"['Flat White 250 Ml', 'OAT MILK (200 ML)', 'Cafe Latte (250 ML)', 'Chicken Calzone']"
19348,"['South Indian Filter Kaapi (150 ML)', 'Madagascar Hot Chocolate (250 ML)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon']"
19349,"['Cappucino (250 ML)', 'Calzones Veg (Calzone Veg)']"
19350,"['Flat White 250 Ml', 'South Indian Filter Kaapi (250 ML)']"
19351,['Classic Frappe (350 ML)']
19352,"['Madagascar Chocochip Frappe (350 ML)', 'Papparoti (Add On Nutella sauce)', 'Macchiato 30 Ml']"
19353,['Classic Frappe (350 ML)']
19354,"['South Indian Filter Kaapi (150 ML)', 'Papparoti (Plain)', 'Chicken Calzone']"
19355,"['Madagascar Hot Chocolate (250 ML)', 'OAT MILK (200 ML)']"
19356,['South Indian Filter Kaapi (150 ML)']
19357,"['Almond Frappe (350 ML)', 'Iced Latte (350 ML)', 'Add On Syrup (Add On hazelnuts Syrup)', 'Classic Frappe (350 ML)', 'Yellow Banana Chips 60 Gm', 'Spicy Banana Chips 60 Gm']"
19358,"['Madagascar Chocochip Frappe (350 ML)', 'Hot Chocolate (250 ML)', 'Papparoti (Plain)', 'Baked Vada Pav']"
19359,"['Madagascar Chocochip Frappe (350 ML)', 'Baked Vada Pav', 'Vietnamese (350 ML)']"
19360,['Iced Latte (350 ML)']
19361,"['Origanal South Indian Frappe (350 ML)', 'South Indian Filter Kaapi (250 ML)']"
19362,['Baked Vada Pav']
19363,"['Americano (250 ML)', 'Iced Americano (350 ML)']"
19364,"['Hazelnut Frappe (450 ML)', 'Vanilla Praline (450 ML)']"
19365,"['Sea Salt Dark Mocha (250 ML)', 'Nariyal Irish Cream Frappe (350 ML)', 'Mix Tartlet 3 Pcs (chocolate Tartlet)', 'Mix Tartlet 3 Pcs (Filter Kaapi Tartlet)', 'Mix Tartlet 3 Pcs (salted Caramel tartlet)', 'Rosella Cheesecake Berliner', 'Berliners (Dark Choco Mousse Berliner)']"
19366,"['Cappucino (250 ML)', 'Cafe Latte (250 ML)']"
19367,['Iced Americano (350 ML)']
19368,"['Cafe Mocha (250 ML)', 'Hazelnut Frappe (350 ML)']"
19369,"['Yellow Banana Chips 60 Gm', 'Origanal South Indian Frappe (350 ML)', 'Iced Americano (450 ML)', 'Cappucino (250 ML)']"
19370,['Almond Frappe (450 Ml)']
19371,"['Hazelnut Frappe (350 ML)', 'Madagascar Chocochip Frappe (350 ML)', 'Vietnamese (350 ML)']"
19372,['Hot Chocolate (250 ML)']
19373,['Flat White 250 Ml']
19374,"['Classic Frappe (350 ML)', 'Madagascar Hot Chocolate (250 ML)']"
19375,"['Baked Vada Pav', 'Baked Pav Bhaji', 'Vanilla Praline (350 ML)']"
19376,"['Espresso Tonic (Tonic Water)', 'Iced Mocha (350 ML)']"
19377,"['Strawbery Rosella Frangipani Tart', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon', 'Berliner Mix 3 Pcs (Nutella Berliner)', 'Papparoti (Add On Nutella sauce)', 'Origanal South Indian Frappe (350 ML)', 'South Indian Filter Kaapi (150 ML)', 'Classic Frappe (350 ML)', 'OAT MILK (200 ML)', 'South Indian Filter Kaapi (150 ML)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon', 'Rosella Jam With Filter Coffee Ganache Macaroon (2 PCS)']"
19378,"['Vietnamese (450 ML)', 'Irish Americano (350 ML)']"
19379,"['Berliners (Lotus Biscoff Berliner)', 'Papparoti (Add On Nutella sauce)', 'Madagascar Hot Chocolate (350 ML)']"
19380,"['Kaapicino (350 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)', 'Rosella Cheesecake Berliner']"
19381,"['Cappucino (250 ML)', 'Baked Vada Pav', 'Baked Pav Bhaji']"
19382,"['Vietnamese (350 ML)', 'Origanal South Indian Frappe (350 ML)']"
19383,['Iced Americano (450 ML)']
19384,"['Kaapicino (350 ML)', 'Cafe Mocha (350 ML)']"
19385,['Madagascar Chocochip Frappe (450 Ml)']
19386,"['Classic Frappe (350 ML)', 'Calzones Veg (Calzone Paneer)']"
19387,['Calzones Veg (Calzone Paneer)']
19388,['Almond Frappe (350 ML)']
19389,"['Madagascar Chocochip Frappe (450 ML)', 'Madagascar Hot Chocolate (250 ML)']"
19390,['Almond Frappe (350 ML)']
19391,['Iced Latte (350 ML)']
19392,['South Indian Filter Kaapi (150 ML)']
