Invoice No.,Item Name
20948,"['Origanal South Indian Frappe (350 ML)', 'ALMOND MILK (200 ML)']"
20949,['Spicy Banana Chips 60 Gm']
20950,"['Vietnamese (350 ML)', 'Tartlets (Salted Caramel Tartlet)']"
20951,"['Cafe Latte (250 ML)', 'Add On Syrup (Add On hazelnuts Syrup)']"
20952,['Choco-crinkle-cookies (COMBO 3 PCS)']
20953,['Vietnamese (450 ML)']
20954,['Cappucino (350 ML)']
20955,['Cappucino (350 ML)']
20956,"['South Indian Filter Kaapi (250 ML)', 'Cafe Mocha (250 ML)', 'Papparoti (Plain)']"
20957,['Americano (350 Ml)']
20958,"['Almond Honey Latte (250 ML)', 'Flat White 250 Ml', 'Papparoti (Add On Nutella sauce)', 'Hyderabadi Chicken Keema Pav']"
20959,['Iced Americano (350 ML)']
20960,"['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon', 'White Loaf Bread', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
20961,['Kaapicino (250 ML)']
20962,['Iced Americano (450 ML)']
20963,"['South Indian Filter Kaapi (250 ML)', 'South Indian Filter Kaapi (150 ML)']"
20964,['Iced Americano (450 ML)']
20965,"['Cappucino (250 ML)', 'Americano (250 ML)']"
20966,"['Kaapicino (250 ML)', 'South Indian Filter Kaapi (150 ML)']"
20967,['Hot Chocolate (250 ML)']
20968,['Origanal South Indian Frappe (450 ML)']
20969,['Baked Vada Pav']
20970,['Iced Americano (350 ML)']
20971,"['Nariyal Irish Cream Frappe (350 ML)', 'Baked Pav Bhaji', 'Americano (250 ML)']"
20972,['Almond Frappe (350 ML)']
20973,['Whole Wheat Ladi Pav 4 Pc']
20974,"['Calzones Veg (Calzone Veg)', 'Baked Pav Bhaji', 'Hyderabadi Chicken Keema Pav']"
20975,['South Indian Filter Kaapi (250 ML)']
20976,['Baked Vada Pav']
20977,"['Iced Americano (350 ML)', 'Vietnamese (350 ML)', 'Baked Pav Bhaji']"
20978,"['Spicy Banana Chips 60 Gm', 'Madagascar Chocochip Frappe (450 ML)']"
20979,['Espresso Tonic (Tonic Water)']
20980,['South Indian Filter Kaapi (150 ML)']
20981,"['Origanal South Indian Frappe (350 ML)', 'OAT MILK (200 ML)']"
20982,"['Almond Honey Latte (250 ML)', 'Berliners (Blueberry Cheese Cake Berliner)']"
20983,['Classic Frappe (450 ML)']
20984,['South Indian Filter Kaapi (150 ML)']
20985,"['South Indian Filter Kaapi (150 ML)', 'Cafe Latte (250 ML)']"
20986,['Espresso Tonic (Tonic Water)']
20987,"['Iced Latte (350 ML)', 'Origanal South Indian Frappe (350 ML)']"
20988,"['Bon Bon (350 ML)', 'Vietnamese (350 ML)']"
20989,"['Hazelnut Frappe (350 ML)', 'Iced Americano (350 ML)']"
20990,"['South Indian Filter Kaapi (150 ML)', 'Hyderabadi Soya Keema Pav', 'Yellow Banana Chips 60 Gm']"
20991,"['Cappucino (250 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
20992,"['Madagascar Hot Chocolate (250 ML)', 'Hazelnut Frappe (350 ML)']"
